sep=	
-1.513498456359216870e-01	-1.796255969211197831e-02
2.264148783766753437e-01	1.306724192067626189e-01
4.437756454823459096e-02	8.181491534517282282e-02
-3.300162978093794108e-01	2.299638153603774660e-01
4.842018810331665812e-01	-4.239097381251455410e-01
-1.445655621742381880e-01	1.746386690959669807e-01
5.486902330399441308e-01	5.524999019126333177e-01
3.164238462846390432e-01	3.386548976667907301e-02
3.355406745764251686e-01	3.861373710789610669e-01
-2.438252753110014825e-01	4.086143257880227031e-01
2.922102456319962682e-01	-2.687298629839033892e-01
-4.482451658061823996e-01	4.004199467325043060e-01
-3.202578713460352833e-01	2.538279146465785563e-01
-5.280861236609990517e-01	8.068538775535964713e-02
5.959257835556425187e-02	-3.421694925182584834e-02
2.746860058255807258e-01	1.729474680530150577e-01
-6.086481059879540467e-01	-3.321384586389794502e-01
-2.045401309181290039e-01	3.735467844191269760e-01
-1.096830497252264808e-01	-1.442115829487632117e-01
-1.431912732931575061e-01	8.598462439311890804e-02
1.876598829811585989e-01	-3.408386144945004803e-01
-5.303894006967627694e-01	1.827757905653191184e-01
5.960722925136058281e-01	-1.700751362635831154e-01
1.233352056943096270e-01	4.841857050420631525e-01
7.217904174084275315e-01	2.169666787085935619e-02
5.458491873890607415e-01	-2.056206804641441677e-01
-1.921717816035070914e-01	1.488605333903522121e-01
4.088792907788739717e-01	-2.533018873976779495e-01
8.900333888377132130e-02	3.337527116807645355e-02
-1.684537603614276458e-01	-5.475705764641235485e-01
1.777152985019819220e-01	-4.208420805684462418e-01
2.035765747727399377e-01	6.203413100322863888e-02
-4.719048601041903601e-01	-4.777479797764415670e-01
5.405030059378131968e-01	2.033132403003728716e-01
-1.446412108058237611e-01	-3.821366227271028038e-01
6.280177755659499539e-02	1.084089887624323512e-01
-5.585737671278467875e-01	-5.575952057093329639e-01
-6.811338335293075363e-02	1.704693712152594021e-01
7.479214627151963279e-01	4.443695420695754073e-01
2.221300948334852809e-01	-2.495479874720830660e-01
4.997847725620774839e-01	-2.447690108158354638e-01
-3.986172844958743577e-01	-1.740017763811355922e-01
-3.301695641434605061e-02	1.462939317868100775e-01
-5.675336455930173746e-02	5.036267426654118529e-01
5.195870734391658252e-02	-3.131142795713930393e-01
-3.420310740132813665e-01	5.959057837569197574e-02
2.483224025329529294e-01	-3.508211759345759573e-01
4.200968268112411641e-01	1.533179181079873110e-01
5.566597384083390304e-02	7.055497733411398853e-01
-8.433318973081377345e-01	-1.655629774473937540e-02
2.620365968793978984e-01	-3.019881366639189935e-01
2.960184327673515137e-01	-3.453614860706638590e-01
-3.099080281745384968e-01	2.734085178514137487e-02
-2.546825130768670120e-01	2.066789171212581391e-02
-9.686247196686256777e-02	6.163718976894053819e-02
-4.591817247163852422e-01	-3.048738413847210463e-02
